,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
6,"frozenset({'LongParameterList', 'LongMethod'})",frozenset({'ComplexClass'}),0.10306406685236769,0.4146438519697573,0.06167926780740151,0.5984555984555985,1.4433003060642215,0.018944386128067196,1.4577619455753161
4,"frozenset({'ComplexClass', 'LongParameterList'})",frozenset({'LongMethod'}),0.1177875049741345,0.4882610425785913,0.06167926780740151,0.5236486486486487,1.0724768166699707,0.00416821782599959,1.0742888751541628
2,frozenset({'ComplexClass'}),frozenset({'LongMethod'}),0.4146438519697573,0.4882610425785913,0.18822124950258656,0.45393474088291746,0.9296968246444757,-0.014233189958970216,0.9371388288806816
1,frozenset({'LongParameterList'}),frozenset({'ComplexClass'}),0.2829287703939515,0.4146438519697573,0.1177875049741345,0.4163150492264416,1.0040304402169362,0.00047282978491942906,1.002863183733741
3,frozenset({'LongMethod'}),frozenset({'ComplexClass'}),0.4882610425785913,0.4146438519697573,0.18822124950258656,0.3854930725346374,0.9296968246444757,-0.014233189958970216,0.9525623257733526
5,"frozenset({'ComplexClass', 'LongMethod'})",frozenset({'LongParameterList'}),0.18822124950258656,0.2829287703939515,0.06167926780740151,0.3276955602536998,1.1582263613467616,0.008426061123621542,1.066587080514657
0,frozenset({'ComplexClass'}),frozenset({'LongParameterList'}),0.4146438519697573,0.2829287703939515,0.1177875049741345,0.2840690978886756,1.0040304402169364,0.00047282978491942906,1.0015927898786898
8,frozenset({'LongParameterList'}),"frozenset({'ComplexClass', 'LongMethod'})",0.2829287703939515,0.18822124950258656,0.06167926780740151,0.21800281293952178,1.1582263613467616,0.008426061123621542,1.0380839777044262
7,frozenset({'ComplexClass'}),"frozenset({'LongParameterList', 'LongMethod'})",0.4146438519697573,0.10306406685236769,0.06167926780740151,0.14875239923224567,1.4433003060642215,0.018944386128067196,1.0536722010595636
9,frozenset({'LongMethod'}),"frozenset({'ComplexClass', 'LongParameterList'})",0.4882610425785913,0.1177875049741345,0.06167926780740151,0.1263243683781581,1.0724768166699707,0.00416821782599959,1.0097712046611351
